"자치구명","시가총액"
"강남구",68241845384620
"서초구",63881582807144.3
"강서구",38912118355382.5
"송파구",30532376896533.6
"은평구",25449574409174
"강동구",25128716746464.1
"마포구",24375670858735.1
"영등포구",23121671351859.3
"용산구",22509610785278.3
"양천구",21044455069580
"성동구",17755368778987.1
"동대문구",16340986198485.3
"광진구",16091347065866.9
"관악구",14937146965683.7
"구로구",14708154214362.5
"금천구",13248792663451
"서대문구",12460948964137.1
"중랑구",11792796733386
"성북구",11572313448328.6
"동작구",11422718116591.8
"중구",11202113237193
"종로구",9630909679984.41
"강북구",8797288871595.12
"도봉구",8139863294156.96
"노원구",7433291883750.63
